drug_name,medical_condition,activity,rx_otc,pregnancy_category,csa,alcohol,rating,no_of_reviews,drug_link
doxycycline,Acne,87%,Rx,D,N,X,6.8,760.0,https://www.drugs.com/doxycycline.html
spironolactone,Acne,82%,Rx,C,N,X,7.2,449.0,https://www.drugs.com/spironolactone.html
minocycline,Acne,48%,Rx,D,N,,5.7,482.0,https://www.drugs.com/minocycline.html
Accutane,Acne,41%,Rx,X,N,X,7.9,623.0,https://www.drugs.com/accutane.html
clindamycin,Acne,39%,Rx,B,N,,7.4,146.0,https://www.drugs.com/mtm/clindamycin-topical.html
Aldactone,Acne,35%,Rx,C,N,X,7.6,8.0,https://www.drugs.com/aldactone.html
tretinoin,Acne,30%,Rx,C,N,,7.7,439.0,https://www.drugs.com/mtm/tretinoin-topical.html
isotretinoin,Acne,26%,Rx,X,N,X,8.0,999.0,https://www.drugs.com/mtm/isotretinoin.html
Bactrim,Acne,20%,Rx,D,N,X,8.5,96.0,https://www.drugs.com/bactrim.html
Retin-A,Acne,17%,Rx,C,N,,7.9,86.0,https://www.drugs.com/retin-a.html
Aczone,Acne,13%,Rx,C,N,,7.4,227.0,https://www.drugs.com/aczone.html
benzoyl peroxide,Acne,13%,Rx/OTC,C,N,,7.8,51.0,https://www.drugs.com/mtm/benzoyl-peroxide-topical.html
Differin,Acne,12%,Rx/OTC,C,N,,6.0,329.0,https://www.drugs.com/differin.html
Epiduo,Acne,12%,Rx,C,N,,7.3,698.0,https://www.drugs.com/epiduo.html
adapalene,Acne,9%,Rx/OTC,C,N,,6.3,499.0,https://www.drugs.com/mtm/adapalene-topical.html
cephalexin,Acne,9%,Rx,B,N,,8.4,8.0,https://www.drugs.com/cephalexin.html
Doryx,Acne,9%,Rx,D,N,X,7.5,57.0,https://www.drugs.com/cons/doryx.html
tetracycline,Acne,9%,Rx,D,N,,6.3,55.0,https://www.drugs.com/tetracycline.html
Septra,Acne,8%,Rx,D,N,X,10.0,2.0,https://www.drugs.com/septra.html
Solodyn,Acne,8%,Rx,D,N,,6.9,99.0,https://www.drugs.com/solodyn.html
Tazorac,Acne,8%,Rx,X,N,,8.0,30.0,https://www.drugs.com/tazorac.html
Vibramycin,Acne,8%,Rx,D,N,X,8.3,4.0,https://www.drugs.com/cons/vibramycin-calcium.html
Acticlate,Acne,7%,Rx,D,N,X,5.7,8.0,https://www.drugs.com/cdi/acticlate.html
benzoyl peroxide / clindamycin,Acne,7%,Rx,C,N,,7.6,570.0,https://www.drugs.com/mtm/benzoyl-peroxide-and-clindamycin-topical.html
Doxy 100,Acne,7%,Rx,D,N,X,9.0,5.0,https://www.drugs.com/cdi/doxy-100.html
Keflex,Acne,7%,Rx,B,N,,7.5,4.0,https://www.drugs.com/keflex.html
sulfamethoxazole / trimethoprim,Acne,7%,Rx,D,N,X,7.7,193.0,https://www.drugs.com/mtm/sulfamethoxazole-and-trimethoprim.html
Benzaclin,Acne,6%,Rx,C,N,,8.2,94.0,https://www.drugs.com/benzaclin.html
Monodox,Acne,6%,Rx,D,N,X,7.8,32.0,https://www.drugs.com/cons/monodox.html
Targadox,Acne,6%,Rx,D,N,X,5.0,1.0,https://www.drugs.com/cdi/targadox.html
Adoxa,Acne,5%,Rx,D,N,X,8.8,5.0,https://www.drugs.com/cdi/adoxa.html
Adoxa CK,Acne,5%,Rx,D,N,X,,,https://www.drugs.com/cons/adoxa-ck.html
Adoxa Pak,Acne,5%,Rx,D,N,X,,,https://www.drugs.com/cons/adoxa-pak.html
Adoxa TT,Acne,5%,Rx,D,N,X,,,https://www.drugs.com/cons/adoxa-tt.html
Avidoxy,Acne,5%,Rx,D,N,X,,,https://www.drugs.com/cdi/avidoxy.html
Bactrim DS,Acne,5%,Rx,D,N,X,6.0,32.0,https://www.drugs.com/cons/bactrim-ds.html
Cleocin T,Acne,5%,Rx,B,N,,,,https://www.drugs.com/mtm/cleocin-t.html
Clindagel,Acne,5%,Rx,B,N,,10.0,2.0,https://www.drugs.com/mtm/clindagel.html
Doryx MPC,Acne,5%,Rx,D,N,X,,,https://www.drugs.com/cons/doryx-mpc.html
erythromycin,Acne,5%,Rx,B,N,,10.0,1.0,https://www.drugs.com/mtm/erythromycin-topical.html
Morgidox,Acne,5%,Rx,D,N,X,,,https://www.drugs.com/cdi/morgidox.html
Oraxyl,Acne,5%,Rx,D,N,X,,,https://www.drugs.com/cdi/oraxyl.html
Claravis,Acne,4%,Rx,X,N,X,8.2,116.0,https://www.drugs.com/mtm/claravis.html
Clinda-Derm,Acne,4%,Rx,B,N,,,,https://www.drugs.com/cons/clinda-derm-topical.html
Evoclin,Acne,4%,Rx,B,N,,,,https://www.drugs.com/evoclin.html
Minocin,Acne,4%,Rx,D,N,,6.7,13.0,https://www.drugs.com/cons/minocin.html
Yaz,Acne,4%,Rx,X,N,X,6.7,267.0,https://www.drugs.com/yaz.html
adapalene / benzoyl peroxide,Acne,3%,Rx,C,N,,7.3,909.0,https://www.drugs.com/mtm/adapalene-and-benzoyl-peroxide-topical.html
Clindacin ETZ,Acne,3%,Rx,B,N,,,,https://www.drugs.com/mtm/clindacin-etz.html
Clindacin P,Acne,3%,Rx,B,N,,,,https://www.drugs.com/mtm/clindacin-p.html
Clindacin PAC,Acne,3%,Rx,B,N,,,,https://www.drugs.com/cons/clindacin-pac-topical.html
ClindaReach Pledget,Acne,3%,Rx,B,N,,,,https://www.drugs.com/cons/clindareach-topical.html
Clindets,Acne,3%,Rx,B,N,,,,https://www.drugs.com/cons/clindets-topical.html
Milk of Magnesia,Acne,3%,Rx/OTC,N,N,,7.0,1.0,https://www.drugs.com/mtm/milk-of-magnesia.html
Septra DS,Acne,3%,Rx,D,N,X,,,https://www.drugs.com/cons/septra-ds.html
Yasmin,Acne,3%,Rx,X,N,X,6.4,193.0,https://www.drugs.com/yasmin.html
Ziana,Acne,3%,Rx,C,N,,7.5,76.0,https://www.drugs.com/ziana.html
Absorica,Acne,2%,Rx,X,N,X,6.6,5.0,https://www.drugs.com/mtm/absorica.html
Acanya,Acne,2%,Rx,C,N,,7.3,57.0,https://www.drugs.com/acanya.html
Amnesteem,Acne,2%,Rx,X,N,X,7.8,27.0,https://www.drugs.com/mtm/amnesteem.html
azelaic acid,Acne,2%,Rx,B,N,,7.4,35.0,https://www.drugs.com/mtm/azelaic-acid-topical.html
Co-trimoxazole,Acne,2%,Rx,D,N,X,9.0,2.0,https://www.drugs.com/monograph/co-trimoxazole.html
dapsone,Acne,2%,Rx,C,N,,7.3,252.0,https://www.drugs.com/mtm/dapsone-topical.html
Duac,Acne,2%,Rx,C,N,,7.3,274.0,https://www.drugs.com/mtm/duac.html
Emcin Clear,Acne,2%,Rx,B,N,,,,https://www.drugs.com/mtm/emcin-clear.html
Epiduo Forte,Acne,2%,Rx,C,N,,7.2,115.0,https://www.drugs.com/mtm/epiduo-forte-topical.html
Erygel,Acne,2%,Rx,B,N,,,,https://www.drugs.com/mtm/erygel.html
Ery Pads,Acne,2%,Rx,B,N,,10.0,1.0,https://www.drugs.com/pro/ery-pads.html
Myorisan,Acne,2%,Rx,X,N,X,8.7,10.0,https://www.drugs.com/mtm/myorisan.html
Onexton,Acne,2%,Rx,C,N,,8.6,33.0,https://www.drugs.com/mtm/onexton.html
Phillips' Milk of Magnesia,Acne,2%,Rx/OTC,N,N,,8.0,1.0,https://www.drugs.com/mtm/phillips-milk-of-magnesia.html
salicylic acid,Acne,2%,Rx/OTC,C,N,,7.0,3.0,https://www.drugs.com/mtm/salicylic-acid-topical.html
Spotex,Acne,2%,Rx,B,N,,,,https://www.drugs.com/pro/spotex-gel.html
Theramycin Z,Acne,2%,Rx,B,N,,,,https://www.drugs.com/mtm/theramycin-z.html
Absorica LD,Acne,1%,Rx,X,N,X,,,https://www.drugs.com/cdi/absorica-ld.html
Achromycin V,Acne,1%,Rx,D,N,,,,https://www.drugs.com/pro/achromycin-v.html
Acne Treatment,Acne,1%,OTC,C,N,,,,https://www.drugs.com/cdi/acne-treatment.html
Acnex,Acne,1%,Rx/OTC,C,N,,10.0,1.0,https://www.drugs.com/cons/acnex-topical.html
Ala-Tet,Acne,1%,Rx,D,N,,,,https://www.drugs.com/mtm/ala-tet.html
Amzeeq,Acne,1%,Rx,D,N,,9.0,1.0,https://www.drugs.com/mtm/amzeeq.html
Atralin,Acne,1%,Rx,C,N,,8.1,35.0,https://www.drugs.com/atralin.html
Avita,Acne,1%,Rx,C,N,,10.0,1.0,https://www.drugs.com/mtm/avita.html
Azelex,Acne,1%,Rx,B,N,,7.4,5.0,https://www.drugs.com/mtm/azelex.html
Benzamycin,Acne,1%,Rx,C,N,,7.7,9.0,https://www.drugs.com/mtm/benzamycin.html
benzoyl peroxide / erythromycin,Acne,1%,Rx,C,N,,7.6,54.0,https://www.drugs.com/mtm/benzoyl-peroxide-and-erythromycin-topical.html
benzoyl peroxide / sulfur,Acne,1%,Rx,C,N,,10.0,2.0,https://www.drugs.com/cdi/benzoyl-peroxide-sulfur-gel.html
Beyaz,Acne,1%,Rx,X,N,X,7.3,34.0,https://www.drugs.com/beyaz.html
Brodspec,Acne,1%,Rx,D,N,,,,https://www.drugs.com/mtm/brodspec.html
Cleeravue-M,Acne,1%,Rx,D,N,,,,https://www.drugs.com/cons/cleeravue-m-topical-application.html
clindamycin / tretinoin,Acne,1%,Rx,C,N,,7.6,183.0,https://www.drugs.com/mtm/clindamycin-and-tretinoin-topical.html
drospirenone / ethinyl estradiol,Acne,1%,Rx,X,N,X,6.4,669.0,https://www.drugs.com/mtm/drospirenone-and-ethinyl-estradiol.html
Dynacin,Acne,1%,Rx,D,N,,8.0,1.0,https://www.drugs.com/cons/dynacin.html
Estarylla,Acne,1%,Rx,X,N,X,4.8,32.0,https://www.drugs.com/mtm/estarylla.html
ethinyl estradiol / norgestimate,Acne,1%,Rx,X,N,X,5.4,489.0,https://www.drugs.com/mtm/ethinyl-estradiol-and-norgestimate.html
Gianvi,Acne,1%,Rx,X,N,X,7.3,54.0,https://www.drugs.com/mtm/gianvi.html
Loryna,Acne,1%,Rx,X,N,X,5.7,45.0,https://www.drugs.com/mtm/loryna.html
magnesium hydroxide,Acne,1%,Rx/OTC,N,N,,8.3,3.0,https://www.drugs.com/mtm/magnesium-hydroxide.html
minocycline,Acne,1%,Rx,D,N,,9.0,1.0,https://www.drugs.com/mtm/minocycline-mucous-membrane-powder.html
Minolira,Acne,1%,Rx,D,N,,,,https://www.drugs.com/cons/minolira.html
Ocella,Acne,1%,Rx,X,N,X,7.5,25.0,https://www.drugs.com/mtm/ocella.html
PanOxyl,Acne,1%,OTC,C,N,,8.5,6.0,https://www.drugs.com/mtm/panoxyl.html
PanOxyl 10% Acne Foaming Wash,Acne,1%,OTC,C,N,,9.5,2.0,https://www.drugs.com/cdi/panoxyl-wash.html
Seysara,Acne,1%,Rx,,N,,8.7,7.0,https://www.drugs.com/seysara.html
Sotret,Acne,1%,Rx,X,N,X,8.0,3.0,https://www.drugs.com/mtm/sotret.html
sulfacetamide sodium/sulfur,Acne,1%,Rx,C,N,,7.5,36.0,https://www.drugs.com/mtm/sulfacetamide-sodium-and-sulfur-topical.html
tazarotene,Acne,1%,Rx,X,N,,7.3,52.0,https://www.drugs.com/tazarotene-topical.html
Tri-Previfem,Acne,1%,Rx,X,N,X,5.2,36.0,https://www.drugs.com/cons/tri-previfem.html
Tri-Sprintec,Acne,1%,Rx,X,N,X,5.0,149.0,https://www.drugs.com/cons/tri-sprintec.html
Veltin,Acne,1%,Rx,C,N,,7.4,42.0,https://www.drugs.com/veltin.html
Ximino,Acne,1%,Rx,D,N,,,,https://www.drugs.com/cons/ximino.html
Zenatane,Acne,1%,Rx,X,N,X,7.7,11.0,https://www.drugs.com/mtm/zenatane.html
Acetoxyl,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cons/acetoxyl-10-topical.html
Acne-10,Acne,0%,OTC,C,N,,,,https://www.drugs.com/cons/acne-10-gel-topical.html
Acne-Clear,Acne,0%,Rx,C,N,,,,https://www.drugs.com/mtm/acne-clear.html
Acnevir,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/mtm/acnevir.html
Acnomel,Acne,0%,OTC,N,N,,5.0,1.0,https://www.drugs.com/cons/acnomel-skin-tone-topical.html
Acnomel Acne Mask,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cons/acnomel-acne-mask-topical.html
Acnomel BP 5,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cons/acnomel-bp-5-topical.html
Aklief,Acne,0%,Rx,,N,,,,https://www.drugs.com/aklief.html
Aktipak,Acne,0%,Rx,C,N,,8.0,1.0,https://www.drugs.com/pro/aktipak.html
Akurza,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cons/akurza-topical.html
Aliclen,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cons/aliclen-topical.html
Alquam-X Acne Therapy Gel,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cons/alquam-x-acne-therapy-gel-topical.html
Altabax,Acne,0%,Rx,B,N,,8.3,3.0,https://www.drugs.com/altabax.html
Altreno,Acne,0%,Rx,C,N,,,,https://www.drugs.com/mtm/altreno.html
Arazlo,Acne,0%,Rx,X,N,,2.0,3.0,https://www.drugs.com/mtm/arazlo.html
Avar,Acne,0%,Rx,C,N,,10.0,1.0,https://www.drugs.com/cdi/avar-sulfur-and-sulfacetamide-cream-and-gel.html
Avar-E,Acne,0%,Rx,C,N,,,,https://www.drugs.com/pro/avar-e-cream.html
Avar-E Green,Acne,0%,Rx,C,N,,,,https://www.drugs.com/pro/avar-e-green-cream.html
Avar-E LS,Acne,0%,Rx,C,N,,,,https://www.drugs.com/pro/avar-e-ls-cream.html
Avar Cleanser,Acne,0%,Rx,C,N,,8.0,1.0,https://www.drugs.com/pro/avar-cleanser.html
Avar LS,Acne,0%,Rx,C,N,,,,https://www.drugs.com/cdi/avar-ls.html
Avar LS Cleanser,Acne,0%,Rx,C,N,,,,https://www.drugs.com/cdi/avar-ls-cleanser.html
Benzac,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cons/benzac-topical.html
Benzac AC,Acne,0%,Rx,C,N,,,,https://www.drugs.com/mtm/benzac-ac.html
Benzac AC Wash,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cdi/benzac-ac-wash.html
Benzac W,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cdi/benzac-w-wash.html
Benzagel,Acne,0%,Rx,C,N,,,,https://www.drugs.com/cons/10-benzagel-acne-gel-topical.html
Benzagel Wash,Acne,0%,Rx,C,N,,,,https://www.drugs.com/cons/5-benzagel-acne-wash-topical.html
Benzamycin Pak,Acne,0%,Rx,C,N,,,,https://www.drugs.com/cons/benzamycin-pak-topical.html
Benzashave,Acne,0%,Rx,C,N,,,,https://www.drugs.com/cons/benzashave-topical.html
BenzEFoam Ultra,Acne,0%,Rx,C,N,,10.0,1.0,https://www.drugs.com/cons/benzefoam-ultra-topical.html
BenzePro,Acne,0%,Rx,C,N,,,,https://www.drugs.com/mtm/benzepro.html
Benziq,Acne,0%,Rx,C,N,,,,https://www.drugs.com/mtm/benziq.html
benzoyl peroxide / hydrocortisone,Acne,0%,Rx,C,N,,10.0,1.0,https://www.drugs.com/mtm/benzoyl-peroxide-and-hydrocortisone-topical.html
benzoyl peroxide / salicylic acid,Acne,0%,Rx,C,N,,8.0,1.0,https://www.drugs.com/mtm/benzoyl-peroxide-and-salicylic-acid-topical.html
benzoyl peroxide / tretinoin,Acne,0%,Rx,,N,,,,https://www.drugs.com/mtm/benzoyl-peroxide-and-tretinoin-topical.html
Binora,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cons/binora-topical.html
BP 10-Wash,Acne,0%,Rx,C,N,,,,https://www.drugs.com/mtm/bp-10-wash.html
BPO 6 Foaming Cloths,Acne,0%,OTC,C,N,,,,https://www.drugs.com/pro/bpo-6-foaming-cloths.html
BPO Gel,Acne,0%,OTC,C,N,,0.0,1.0,https://www.drugs.com/cons/bpo-4-gel-topical.html
BP Wash,Acne,0%,Rx/OTC,C,N,,9.0,1.0,https://www.drugs.com/cdi/bp-wash.html
Brevoxyl,Acne,0%,Rx,C,N,,,,https://www.drugs.com/cons/brevoxyl-topical.html
Brevoxyl Acne Wash Kit,Acne,0%,Rx,C,N,,,,https://www.drugs.com/mtm/brevoxyl-acne-wash-kit.html
